name;symbol;asset_type;launch_year;category;label_code
LEO Token                             ;leo       ;Crypto;2020;General;0
Cronos                                ;cro       ;Crypto;2020;General;1
OKB                                   ;okb       ;Crypto;2020;General;2
WhiteBIT Coin                         ;wbt       ;Crypto;2020;General;3
WETH                                  ;weth      ;Crypto;2020;General;4
World Liberty Financial               ;wlfi      ;Crypto;2020;General;5
Polkadot                              ;dot       ;Crypto;2020;General;6
Avalanche                             ;avax      ;Crypto;2020;General;7
Zcash                                 ;zec       ;Crypto;2020;General;8
Litecoin                              ;ltc       ;Crypto;2020;General;9
BNB                                   ;bnb       ;Crypto;2020;General;10
Bitcoin                               ;btc       ;Crypto;2020;General;11
Wrapped stETH                         ;wsteth    ;Crypto;2020;General;12
sUSDS                                 ;susds     ;Crypto;2020;General;13
Lido Staked Ether                     ;steth     ;Crypto;2020;General;14
Bitget Token                          ;bgb       ;Crypto;2020;General;15
Monero                                ;xmr       ;Crypto;2020;General;16
Uniswap                               ;uni       ;Crypto;2020;General;17
Ethena USDe                           ;usde      ;Crypto;2020;General;18
Bittensor                             ;tao       ;Crypto;2020;General;19
Coinbase Wrapped BTC                  ;cbbtc     ;Crypto;2020;General;20
TRON                                  ;trx       ;Crypto;2020;General;21
Cardano                               ;ada       ;Crypto;2020;General;22
XRP                                   ;xrp       ;Crypto;2020;General;23
Tether                                ;usdt      ;Crypto;2020;General;24
LEO Token                             ;leo       ;Crypto;2020;General;0
Figure Heloc                          ;figr_heloc;Crypto;2020;General;25
OKB                                   ;okb       ;Crypto;2020;General;2
Dai                                   ;dai       ;Crypto;2020;General;26
Shiba Inu                             ;shib      ;Crypto;2020;General;27
World Liberty Financial               ;wlfi      ;Crypto;2020;General;5
Polkadot                              ;dot       ;Crypto;2020;General;6
Bitcoin Cash                          ;bch       ;Crypto;2020;General;28
Zcash                                 ;zec       ;Crypto;2020;General;8
Chainlink                             ;link      ;Crypto;2020;General;29
Binance Bridged USDT (BNB Smart Chain);bsc-usd   ;Crypto;2020;General;30
Bitcoin                               ;btc       ;Crypto;2020;General;11
Wrapped stETH                         ;wsteth    ;Crypto;2020;General;12
sUSDS                                 ;susds     ;Crypto;2020;General;13
Cronos                                ;cro       ;Crypto;2020;General;1
Bitget Token                          ;bgb       ;Crypto;2020;General;15
Monero                                ;xmr       ;Crypto;2020;General;16
